country,iso2,iso3,indicator_used,unit,cts_code,sector,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Philippines,PH,PHL,CO2 emissions in exports of domestic controlled enterprises,Metric tons of CO2,ECBIXD,Real estate activities,48.91518595,148.3651658,146.9203157,104.9217461,125.4166542,152.8124169,181.439073,116.027349,165.1981805,175.0697023,260.488442,349.7483937
Philippines,PH,PHL,CO2 emissions in exports of domestic controlled enterprises,Metric tons of CO2,ECBIXD,Rubber and plastic products,42.16195776,66.66784721,57.88791599,78.71978269,70.84981,125.5160257,105.122422,306.148176,85.737165,81.95513109,82.93149225,101.7468669
Philippines,PH,PHL,CO2 emissions in exports of domestic controlled enterprises,Metric tons of CO2,ECBIXD,Telecommunications,170.4577545,225.7417078,204.228253,221.6208094,202.5391459,213.9053589,382.4307019,1078.531183,308.8520193,364.3013205,251.9579303,248.4871468
Philippines,PH,PHL,CO2 emissions in exports of domestic controlled enterprises,Metric tons of CO2,ECBIXD,"Textiles, wearing apparel, leather and related products",1058.452061,1401.944339,953.9336519,818.0413221,544.7997157,606.4980239,604.0646064,763.5263329,557.4100406,574.6372346,514.929343,402.8256347
Philippines,PH,PHL,CO2 emissions in exports of domestic controlled enterprises,Metric tons of CO2,ECBIXD,Transportation and storage,1367.01469,1220.804843,1574.927613,1587.177687,777.2526566,2170.727072,1827.978609,3564.921576,3026.288321,2289.155216,3526.164148,3183.81249
Philippines,PH,PHL,CO2 emissions in exports of domestic controlled enterprises,Metric tons of CO2,ECBIXD,"Wholesale and retail trade, repair of motor vehicles",618.8313373,970.3185561,668.9159179,723.2096219,629.0536564,964.7527355,869.0310389,1322.582534,1138.501525,1068.911383,918.7903257,203.8991687
Philippines,PH,PHL,CO2 emissions in exports of domestic controlled enterprises,Metric tons of CO2,ECBIXD,Wood and products of wood and cork,6.445568148,50.96620032,44.79984026,48.88464431,41.01729907,73.22424178,54.21417883,81.57517793,81.92716722,70.14521731,52.44816597,57.64916277
Philippines,PH,PHL,CO2 emissions in exports of foreign controlled multinational enterprises,Metric tons of CO2,ECBIXF,Accommodation and food services,111.7153415,128.3206557,76.493545,81.95793438,70.90606612,79.64508938,90.43696708,132.2316134,117.0742544,109.6988426,106.5051202,109.4246657
Philippines,PH,PHL,CO2 emissions in exports of foreign controlled multinational enterprises,Metric tons of CO2,ECBIXF,"Agriculture, forestry and fishing",1.846218259,0.256103086,0.135512871,0.11044591,0.081012702,0.14503119,0.156086472,0.149982501,0.152011574,0.138093033,0.08280754,0.068691314
Philippines,PH,PHL,CO2 emissions in exports of foreign controlled multinational enterprises,Metric tons of CO2,ECBIXF,"Arts, entertainment, recreation and other service activities",2.270645654,1.913220573,1.973406274,1.238743243,1.285840952,1.169702763,1.610623605,1.734363376,1.768401564,1.715122129,2.379384402,13.05451782
