country,iso2,iso3,indicator_used,unit,cts_code,industry,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Philippines,PH,PHL,CO2 emissions,Millions of Metric tons of CO2,ECNC,"Manufacturing nec, repair and installation of machinery and equipment",0.141,0.149,0.161,0.172,0.169,0.155,0.169,0.157,0.164,0.174,0.189,0.199,1.304,0.183,0.178,0.193,0.228,0.213,0.236,0.208,0.172,0.339,0.205,0.351
Philippines,PH,PHL,CO2 emissions,Millions of Metric tons of CO2,ECNC,"Mining and quarrying, energy producing products",1.478,1.706,1.644,1.777,1.674,2.399,2.01,2.348,2.459,2.002,2.233,1.492,1.915,1.562,1.298,1.51,1.025,1.128,0.974,1.144,0.999,0.698,0.757,0.802
Philippines,PH,PHL,CO2 emissions,Millions of Metric tons of CO2,ECNC,"Mining and quarrying, non-energy producing products",0.725,0.568,0.44,0.468,0.394,0.344,0.238,0.254,0.261,0.301,0.326,0.364,0.364,0.419,0.489,0.646,0.757,0.862,0.958,0.964,1.046,0.872,0.947,0.873
Philippines,PH,PHL,CO2 emissions,Millions of Metric tons of CO2,ECNC,Mining support service activities,0.041,0.033,0.029,0.032,0.027,0.024,0.014,0.011,0.011,0.012,0.011,0.013,0.017,0.022,0.036,0.052,0.087,0.111,0.125,0.126,0.111,0.089,0.112,0.085
Philippines,PH,PHL,CO2 emissions,Millions of Metric tons of CO2,ECNC,"Motor vehicles, trailers and semi-trailers",0.014,0.019,0.026,0.03,0.035,0.043,0.038,0.045,0.051,0.064,0.073,0.042,0.071,0.056,0.037,0.028,0.022,0.014,0.015,0.015,0.014,0.014,0.016,0.017
Philippines,PH,PHL,CO2 emissions,Millions of Metric tons of CO2,ECNC,Other non-metallic mineral products,4.744,4.796,5.132,5.146,4.448,4.264,3.992,3.785,4.594,4.746,5.194,5.615,5.873,7.396,5.913,7.519,7.376,6.638,7.417,7.421,7.94,9.129,10.308,6.942
Philippines,PH,PHL,CO2 emissions,Millions of Metric tons of CO2,ECNC,Other service activities,0.129,0.128,0.145,0.161,0.186,0.175,0.2,0.168,0.163,0.15,0.159,0.164,0.294,0.3,0.308,0.312,0.319,0.28,0.313,0.369,0.332,0.394,0.472,0.506
Philippines,PH,PHL,CO2 emissions,Millions of Metric tons of CO2,ECNC,Other transport equipment,0.021,0.023,0.022,0.021,0.02,0.021,0.019,0.018,0.017,0.017,0.017,0.012,0.012,0.009,0.006,0.005,0.004,0.002,0.002,0.002,0.002,0.002,0.002,0.003
Philippines,PH,PHL,CO2 emissions,Millions of Metric tons of CO2,ECNC,Paper products and printing,0.858,0.565,0.428,0.616,0.692,0.677,0.566,0.578,0.615,0.62,0.629,0.298,0.375,0.312,0.295,0.308,0.279,0.278,0.326,0.377,0.34,0.381,0.441,1.991
Philippines,PH,PHL,CO2 emissions,Millions of Metric tons of CO2,ECNC,"Pharmaceuticals, medicinal chemical and botanical products",0.446,0.251,0.493,0.206,0.339,0.321,0.33,0.404,0.513,0.6,0.686,0.653,0.463,0.39,0.313,0.249,0.167,0.09,0.076,0.106,0.125,0.122,0.144,0.109
Philippines,PH,PHL,CO2 emissions,Millions of Metric tons of CO2,ECNC,Postal and courier activities,0.019,0.023,0.033,0.04,0.082,0.101,0.084,0.044,0.032,0.021,0.014,0.006,0.008,0.014,0.017,0.021,0.024,0.024,0.026,0.028,0.027,0.03,0.034,0.036
Philippines,PH,PHL,CO2 emissions,Millions of Metric tons of CO2,ECNC,"Professional, scientific and technical activities",0.081,0.077,0.087,0.091,0.108,0.114,0.108,0.103,0.098,0.092,0.091,0.092,0.087,0.099,0.116,0.128,0.136,0.135,0.145,0.162,0.157,0.182,0.214,0.235
Philippines,PH,PHL,CO2 emissions,Millions of Metric tons of CO2,ECNC,"Public administration and defence, compulsory social security",0.406,0.379,0.412,0.404,0.398,0.389,0.35,0.338,0.312,0.287,0.269,0.255,0.236,0.238,0.305,0.332,0.352,0.353,0.386,0.449,0.425,0.509,0.61,0.666
Philippines,PH,PHL,CO2 emissions,Millions of Metric tons of CO2,ECNC,"Publishing, audiovisual and broadcasting activities",0.093,0.075,0.087,0.092,0.132,0.136,0.131,0.111,0.103,0.096,0.094,0.089,0.073,0.074,0.078,0.081,0.086,0.082,0.086,0.098,0.096,0.116,0.143,0.156
Philippines,PH,PHL,CO2 emissions,Millions of Metric tons of CO2,ECNC,Real estate activities,0.184,0.098,0.126,0.162,0.208,0.269,0.372,0.406,0.42,0.422,0.437,0.411,0.489,0.45,0.465,0.467,0.435,0.386,0.431,0.507,0.471,0.558,0.666,0.715
Philippines,PH,PHL,CO2 emissions,Millions of Metric tons of CO2,ECNC,Rubber and plastics products,0.068,0.075,0.1,0.121,0.139,0.14,0.228,0.225,0.224,0.239,0.261,0.282,1.216,0.183,0.17,0.17,0.185,0.164,0.183,0.157,0.126,0.275,0.149,0.277
Philippines,PH,PHL,CO2 emissions,Millions of Metric tons of CO2,ECNC,Telecommunications,0.073,0.05,0.061,0.074,0.125,0.149,0.172,0.137,0.127,0.111,0.11,0.116,0.088,0.114,0.136,0.152,0.165,0.162,0.178,0.208,0.193,0.231,0.276,0.3
Philippines,PH,PHL,CO2 emissions,Millions of Metric tons of CO2,ECNC,"Textiles, textile products, leather and footwear",0.774,0.786,0.846,0.923,0.836,0.819,0.749,0.721,0.749,0.807,0.839,0.696,0.472,0.344,0.255,0.202,0.127,0.087,0.511,0.542,0.138,0.123,0.134,0.114
Philippines,PH,PHL,CO2 emissions,Millions of Metric tons of CO2,ECNC,Warehousing and support activities for transportation,0.162,0.184,0.194,0.188,0.196,0.193,0.173,0.164,0.149,0.139,0.129,0.109,0.205,0.231,0.256,0.287,0.297,0.306,0.322,0.341,0.347,0.382,0.423,0.461
Philippines,PH,PHL,CO2 emissions,Millions of Metric tons of CO2,ECNC,"Water supply, sewerage, waste management and remediation activities",0.016,0.014,0.014,0.014,0.016,0.017,0.034,0.043,0.05,0.056,0.064,0.064,0.074,0.07,0.069,0.068,0.062,0.057,0.061,0.07,0.067,0.078,0.09,0.098
Philippines,PH,PHL,CO2 emissions,Millions of Metric tons of CO2,ECNC,Water transport,6.638,7.642,8.24,8.198,7.626,4.337,6.299,5.788,4.787,5.163,4.785,4.817,3.724,3.678,4.103,4.192,3.952,3.693,3.964,4.338,5.789,5.606,5.77,5.45
Philippines,PH,PHL,CO2 emissions,Millions of Metric tons of CO2,ECNC,"Wholesale and retail trade, repair of motor vehicles",2.121,2.382,2.466,2.449,2.636,2.792,2.826,2.552,2.337,2.156,2.032,2.24,2.03,2.082,2.342,2.494,2.578,2.627,2.814,3.139,3.011,3.455,4.009,4.323
Philippines,PH,PHL,CO2 emissions,Millions of Metric tons of CO2,ECNC,Wood and products of wood and cork,0.21,0.152,0.13,0.125,0.13,0.101,0.123,0.145,0.152,0.167,0.173,0.167,0.129,0.099,0.08,0.069,0.046,0.037,0.041,0.038,0.059,0.057,0.057,0.062
Philippines,PH,PHL,CO2 emissions intensities,Metric Tons of CO2 Emissions per $1million USD of output,ECNI,Accomodation and food services,30.17979452,37.00877528,37.94143399,46.32152589,40.46069532,47.19724422,53.46847685,48.04083471,41.82813557,32.64397663,25.53683568,21.57899644,16.20391749,15.49704277,23.85422419,24.02095922,23.80516389,22.23041879,22.53830825,25.43679681,23.19258868,26.80102916,31.43216826,32.67798378
Philippines,PH,PHL,CO2 emissions intensities,Metric Tons of CO2 Emissions per $1million USD of output,ECNI,Administrative and support services,210.9102442,172.543674,174.1612089,200.7639277,165.4522765,142.5927484,187.1006997,162.0882012,140.5427163,117.4221737,93.44842513,71.58531649,50.34058552,40.49302479,46.23728475,37.04234288,28.84500189,22.1988264,22.840886,25.97581194,23.26052486,26.74299563,31.2331578,32.24648519
Philippines,PH,PHL,CO2 emissions intensities,Metric Tons of CO2 Emissions per $1million USD of output,ECNI,"Agriculture, hunting, forestry",37.85611683,47.29630894,51.38660964,47.79791926,35.74652794,30.76923077,37.80883697,35.68482588,38.14896098,33.65541201,28.80683306,23.61156744,36.6944136,12.58235078,10.68896218,9.467675314,8.663024886,7.905510562,7.814849581,7.319956386,7.540302167,8.078405643,9.390588676,8.563472688
